layer,code,linetype,lineweight,color,pattern_name,pattern_color,pattern_scale,pattern_lineweight,solid_color
P_C_06_a,X,continuous,0.18,"105,105,105",Grid,"160,160,160",1,0.13,"255,255,255"
P_C_06_b,X,continuous,0.18,"105,105,105",Grid,"160,160,160",1,0.13,"255,255,255"
P_C_07_a,X,continuous,0.18,"105,105,105",Grid,"160,160,160",1,0.13,"255,255,255"
P_C_07_b,X,continuous,0.18,"105,105,105",Grid,"160,160,160",1,0.13,"255,255,255"
P_C_08_a,X,continuous,0.18,"105,105,105",Grid,"160,160,160",1,0.13,"194,194,194"
P_C_08_b,X,continuous,0.18,"105,105,105",Grid,"160,160,160",1,0.13,"194,194,194"
P_C_14_a,X,continuous,0.18,"186,186,186",Grid,"110,110,100",1,0.13,"210,210,210"
P_C_14_b,X,continuous,0.18,"186,186,186",Grid,"110,110,100",1,0.13,"210,210,210"
P_C_21_a,X,continuous,0.18,"186,186,186",P_C_21,"190,190,190",2.4,0.13,"230,230,230"
P_C_21_b,X,continuous,0.18,"186,186,186",P_C_21,"190,190,190",2.4,0.13,"230,230,230"
P_C_22_a,X,continuous,0.18,"186,186,186",P_C_22,"160,160,160",2.4,0.13,"200,200,200"
P_C_22_b,X,continuous,0.18,"186,186,186",P_C_22,"160,160,160",2.4,0.13,"200,200,200"
P_C_24,X,continuous,0.13,"190,190,190",P_C_24,"190,190,190",10,0.13,"230,230,230"
P_C_24_a,X,continuous,0.13,"190,190,190",P_C_24,"190,190,190",10,0.13,"230,230,230"
P_C_24_b,X,continuous,0.13,"190,190,190",P_C_24,"190,190,190",10,0.13,"230,230,230"
P_D_01,X,continuous,0.13,"120,89,59",Hatch2,"200,200,200",1,0.13,"206,119,34"
P_G_01,X,continuous,0.13,"109,180,109",Squares,"230,230,230",0.5,0.13,"109,180,109"
P_G_01_a,X,continuous,0.13,"109,180,109",Squares,"230,230,230",0.5,0.13,"109,180,109"
P_G_01_b,X,continuous,0.13,"109,180,109",Squares,"230,230,230",0.5,0.13,"109,180,109"
P_K_03,X,continuous,0.13,"120,71,58",P_K_03,"120,71,58",3,0.13,"224,181,139"
P_K_03_a,X,continuous,0.13,"120,71,58",P_K_03,"120,71,58",3,0.13,"224,181,139"
P_K_03_b,X,continuous,0.13,"120,71,58",P_K_03,"120,71,58",3,0.13,"224,181,139"
P_K_06_a,X,continuous,0.13,"120,71,58",P_K_03,"120,71,58",5,0.13,"224,181,139"
P_K_06_b,X,continuous,0.13,"120,71,58",P_K_03,"120,71,58",5,0.13,"224,181,139"
P_M_04_a,X,continuous,0.18,"186,186,186",Hatch1,"220,220,220",1,0.13,"200,200,200"
P_M_05_a,X,continuous,0.18,"186,186,186",random_points_01,"160,160,160",5,0.13,"200,49,49"
P_R_01,X,continuous,0.13,"165,165,165",random_points_01,"165,165,165",0.6,0.13,"215,215,215"
P_R_01_a,X,continuous,0.13,"165,165,165",random_points_01,"145,145,145",0.6,0.13,"215,215,215"
P_R_01_b,X,continuous,0.13,"165,165,165",random_points_01,"145,145,145",0.6,0.13,"215,215,215"
P_R_05,X,continuous,0.13,"255,191,0",random_points_01,"255,191,0",5,0.13,"255,230,155"
P_R_05_a,X,continuous,0.13,"255,191,0",random_points_01,"255,191,0",5,0.13,"255,230,155"
P_R_05_b,X,continuous,0.13,"255,191,0",random_points_01,"255,191,0",5,0.13,"255,230,155"
P_S_02,X,continuous,0.18,"190,190,190",P_S,"50,50,50",1,0.13,"200,200,200"
P_S_02_a,X,continuous,0.18,"190,190,190",P_S,"50,50,50",1,0.13,"200,200,200"
P_S_02_b,X,continuous,0.18,"190,190,190",P_S,"50,50,50",1,0.13,"250,250,250"
P_S_03,X,continuous,0.13,"105,105,105",P_S,"230,230,230",1,0.13,"105,105,105"
P_S_03_a,X,continuous,0.13,"105,105,105",P_S,"230,230,230",1,0.13,"78,74,71"
P_S_03_b,X,continuous,0.13,"105,105,105",P_S,"230,230,230",1,0.13,"78,74,71"
G_B_08,X,continuous,0.18,"204,204,0",V-shape_random,"242,255,138",3,0.1,"178,198,120"
G_C_01,X,continuous,0.18,"255,255,0",V-shape_random,"255,255,0",7.5,0.1,"203,220,73"
G_H_01,X,continuous,0.18,"57,76,0",V-shape_random,"242,255,138",8,0.1,"170,210,69"
G_H_02,X,continuous,0.18,"57,76,0",V-shape_random,"242,255,138",8,0.1,"170,210,69"
G_H_03,X,continuous,0.18,"57,76,0",V-shape_random,"242,255,138",8,0.1,"170,210,69"
G_L_01,X,continuous,0.18,"170,210,69",Double-lines_random,"255,255,255",7.5,0.1,"170,210,69"
G_L_02,X,continuous,0.18,"255,255,0",Double-lines_random,"255,255,0",7.5,0.1,"203,220,73"
G_L_03,X,continuous,0.18,"182,197,65",Double-lines_random,"255,255,255",7.5,0.1,"182,197,65"
G_L_04,X,continuous,0.18,"182,197,65",Double-lines_random,"255,255,255",7.5,0.1,"182,197,65"
G_L_05,X,continuous,0.18,"182,197,65",Double-lines_random,"255,255,105",7.5,0.1,"182,197,65"
G_L_06,X,continuous,0.18,"182,197,65",Double-lines_random,"240,240,175",7.5,0.1,"182,197,65"
G_V_01,X,dashed,0.18,"95,127,0",G_L_01,"99,128,128",12,2,"93,231,231"
G_W_01,X,continuous,0.4,"196,75,187",G_L_01,"196,75,187",12,2,"127,180,59"
G_G_01,X,continuous,0.6,"255,255,0",random_points_01,"255,255,0",5,1,"203,220,73"
G_G_06,X,continuous,0.6,"127,180,59",random_points_01,"127,180,59",5,1,"210,0,102"
P_R_02_a,X,continuous,0.18,"0,0,0",random_points_01,"145,145,145",0.6,1,"50,50,50"
P_R_02_b,X,continuous,0.18,"0,0,0",random_points_01,"145,145,145",0.6,1,"50,50,50"
P_R_07_a,X,continuous,0.13,"200,200,200",random_points_01,"90,90,90",2,1,"194,190,161"
P_R_07_b,X,continuous,0.13,"200,200,200",random_points_01,"90,90,90",2,1,"194,190,161"
B_C,X,continuous,0.18,"102,102,102",,,,,
B_C_01,X,continuous,0.18,"102,102,102",,,,,
B_C_02,X,continuous,0.18,"102,102,102",,,,,
B_C_03,X,continuous,0.18,"102,102,102",,,,,
B_M_01_a,X,continuous,0.18,"102,102,102",,,,,
B_M_01_b,X,continuous,0.18,"102,102,102",,,,,
B_M_02_a,X,continuous,0.18,"102,102,102",,,,,
B_M_02_b,X,continuous,0.18,"102,102,102",,,,,
B_T_01_a,X,continuous,0.19,"102,102,103",,,,,
B_T_01_b,X,continuous,0.20,"102,102,104",,,,,
B_T_02_a,X,continuous,0.21,"102,102,105",,,,,
B_T_02_b,X,continuous,0.22,"102,102,106",,,,,
E_B,X,continuous,0.18,"0,0,0",,,,,
E_B_01,X,continuous,0.18,"0,0,0",,,,,
E_B_02,X,continuous,0.18,"0,0,0",,,,,
E_B_03,X,continuous,0.18,"0,0,0",,,,,
E_B_04,X,continuous,0.18,"0,0,0",,,,,
E_C,X,continuous,0.18,"0,0,0",,,,,
E_C_01,X,continuous,0.18,"0,0,0",,,,,
E_C_02,X,continuous,0.18,"0,0,0",,,,,
E_C_03,X,continuous,0.18,"0,0,0",,,,,
E_C_04,X,continuous,0.18,"0,0,0",,,,,
E_F,X,continuous,0.18,"0,0,0",,,,,
E_F_01,X,continuous,0.18,"0,0,0",,,,,
E_F_02,X,continuous,0.18,"0,0,0",,,,,
E_F_03,X,continuous,0.18,"0,0,0",,,,,
E_F_04,X,continuous,0.18,"0,0,0",,,,,
E_F_05,X,continuous,0.18,"0,0,0",,,,,
E_F_06,X,continuous,0.18,"0,0,0",,,,,
E_I,X,continuous,0.18,"255,0,0",,,,,
E_I_01_a,X,continuous,0.18,"156,0,255",,,,,
E_I_01_b,X,continuous,0.18,"156,0,255",,,,,
E_I_01_c,X,continuous,0.18,"156,0,255",,,,,
E_I_02_a,X,continuous,0.18,"156,0,255",,,,,
E_I_02_b,X,continuous,0.18,"156,0,255",,,,,
E_I_03_a,X,continuous,0.18,"156,0,255",,,,,
E_I_03_d,X,continuous,0.18,"156,0,255",,,,,
E_I_04_a,X,continuous,0.18,"156,0,255",,,,,
E_I_04_d,X,continuous,0.18,"156,0,255",,,,,
E_I_05,X,continuous,0.18,"156,0,255",,,,,
E_I_06,X,continuous,0.18,"156,0,255",,,,,
E_I_07_a,X,continuous,0.18,"156,0,255",,,,,
E_I_07_b,X,continuous,0.18,"156,0,255",,,,,
E_I_08_a,X,continuous,0.18,"156,0,255",,,,,
E_I_08_b,X,continuous,0.18,"156,0,255",,,,,
E_I_09,X,continuous,0.18,"156,0,255",,,,,
E_M,X,continuous,0.18,"41,0,165",,,,,
E_M_01,X,continuous,0.18,"41,0,165",,,,,
E_M_02,X,continuous,0.18,"41,0,165",,,,,
E_M_03_a,X,continuous,0.18,"41,0,165",,,,,
E_M_03_b,X,continuous,0.18,"41,0,165",,,,,
E_M_04_a,X,continuous,0.18,"41,0,165",,,,,
E_M_04_b,X,continuous,0.18,"41,0,165",,,,,
E_M_04_c,X,continuous,0.18,"41,0,165",,,,,
E_M_05_a,X,continuous,0.18,"41,0,165",,,,,
E_M_05_b,X,continuous,0.18,"41,0,165",,,,,
E_P,X,continuous,0.18,"41,0,165",,,,,
E_P_01,X,continuous,0.18,"41,0,165",,,,,
E_P_02,X,continuous,0.18,"41,0,165",,,,,
E_P_02_NRO815,X,continuous,0.18,"41,0,165",,,,,
E_P_02_NRO873,X,continuous,0.18,"41,0,165",,,,,
E_P_02_NRO906,X,continuous,0.18,"41,0,165",,,,,
E_P_03_a,X,continuous,0.18,"41,0,165",,,,,
E_P_03_b,X,continuous,0.18,"41,0,165",,,,,
E_P_04,X,continuous,0.18,"41,0,165",,,,,
E_P_05,X,continuous,0.18,"41,0,165",,,,,
E_P_06,X,continuous,0.18,"41,0,165",,,,,
E_S,X,continuous,0.18,"0,0,0",,,,,
E_S_01,X,continuous,0.18,"160,130,90",,,,,
E_S_02,X,continuous,0.18,"160,130,90",,,,,
E_S_03,X,continuous,0.18,"160,130,90",,,,,
E_S_04,X,continuous,0.18,"160,130,90",,,,,
E_S_05,X,continuous,0.18,"0,0,0",,,,,
E_S_06,X,continuous,0.18,"0,0,0",,,,,
E_S_07,X,continuous,0.18,"0,0,0",,,,,
E_S_08,X,continuous,0.18,"0,0,0",,,,,
E_S_09_a,X,continuous,0.18,"102,102,102",,,,,
E_S_09_b,X,continuous,0.18,"102,102,102",,,,,
E_S_10_a,X,continuous,0.18,"102,102,102",,,,,
E_S_10_b,X,continuous,0.18,"102,102,102",,,,,
E_S_11_a,X,continuous,0.18,"102,102,102",,,,,
E_S_11_b,X,continuous,0.18,"102,102,102",,,,,
E_S_12_a,X,continuous,0.18,"102,102,102",,,,,
E_S_12_b,X,continuous,0.18,"102,102,102",,,,,
E_S_13,X,continuous,0.18,"102,102,102",,,,,
E_S_14,X,continuous,0.18,"102,102,102",,,,,
E_S_15,X,continuous,0.18,"102,102,102",,,,,
E_S_16,X,continuous,0.18,"102,102,102",,,,,
E_S_17,X,continuous,0.18,"160,130,90",,,,,
E_S_18,X,continuous,0.18,"160,130,90",,,,,
E_S_19,X,continuous,0.18,"160,130,90",,,,,
E_S_20,X,continuous,0.18,"160,130,90",,,,,
E_S_21,X,continuous,0.18,"160,130,90",,,,,
E_S_22,X,continuous,0.18,"160,130,90",,,,,
E_S_23,X,continuous,0.18,"160,130,90",,,,,
E_S_24,X,continuous,0.18,"160,130,90",,,,,
E_S_25,X,continuous,0.18,"160,130,90",,,,,
E_S_26,X,continuous,0.18,"160,130,90",,,,,
E_S_27,X,continuous,0.18,"160,130,90",,,,,
E_S_28,X,continuous,0.18,"160,130,90",,,,,
E_S_29,X,continuous,0.18,"160,130,90",,,,,
E_S_30,X,continuous,0.18,"160,130,90",,,,,
E_W,X,continuous,0.18,"41,0,165",,,,,
E_W_01,X,continuous,0.18,"41,0,165",,,,,
E_W_02,X,continuous,0.18,"41,0,165",,,,,
E_W_03,X,continuous,0.18,"41,0,165",,,,,
E_W_04_a,X,continuous,0.18,"41,0,165",,,,,
E_W_04_b,X,continuous,0.18,"41,0,165",,,,,
F_G_01,X,continuous,0.18,"102,102,102",,,,,
F_G_03,X,continuous,0.18,"102,102,102",,,,,
F_M,X,hidden,0.18,"166,166,166",,,,,
F_M_01_a,X,hidden,0.18,"166,166,166",,,,,
F_M_01_b,X,hidden,0.18,"166,166,166",,,,,
F_M_01_d,X,hidden,0.18,"166,166,166",,,,,
F_M_02_a,X,dashed,0.18,"51,51,51",,,,,
F_M_02_b,X,dashed,0.18,"51,51,51",,,,,
F_M_03_a,X,dashed,0.18,"166,166,166",,,,,
F_M_03_b,X,dashed,0.18,"166,166,166",,,,,
F_M_03_d,X,dashed,0.18,"166,166,166",,,,,
F_M_04_a,X,dashed,0.18,"166,166,166",,,,,
F_M_05_a,X,continuous,0.18,"51,51,51",,,,,
F_M_05_b,X,continuous,0.18,"51,51,51",,,,,
F_M_05_d,X,continuous,0.18,"166,166,166",,,,,
F_M_06_a,X,continuous,0.18,"51,51,51",,,,,
F_M_06_b,X,continuous,0.18,"51,51,51",,,,,
F_M_06_c,X,continuous,0.18,"166,166,166",,,,,
F_M_06_d,X,continuous,0.18,"166,166,166",,,,,
F_M_07_a,X,continuous,0.18,"51,51,51",,,,,
F_M_07_b,X,continuous,0.18,"51,51,51",,,,,
F_M_08_a,X,continuous,0.18,"166,166,166",,,,,
F_M_08_b,X,continuous,0.18,"166,166,166",,,,,
F_M_08_c,X,continuous,0.18,"166,166,166",,,,,
F_M_08_d,X,continuous,0.18,"166,166,166",,,,,
F_S_02,X,continuous,0.18,"102,102,102",,,,,
F_S_03,X,continuous,0.18,"102,102,102",,,,,
F_W,X,hidden,0.18,"166,166,166",,,,,
F_W_01_a,X,continuous,0.18,"111,90,62",,,,,
F_W_01_b,X,continuous,0.18,"111,90,62",,,,,
F_W_02_a,X,continuous,0.18,"111,90,62",,,,,
F_W_02_b,X,continuous,0.18,"111,90,62",,,,,
F_W_03_a,X,continuous,0.18,"111,90,62",,,,,
F_W_03_b,X,continuous,0.18,"111,90,62",,,,,
F_W_03_c,X,continuous,0.18,"166,166,166",,,,,
F_W_03_d,X,continuous,0.18,"166,166,166",,,,,
F_W_04_a,X,continuous,0.18,"111,90,62",,,,,
F_W_04_b,X,continuous,0.18,"111,90,62",,,,,
F_W_04_d,X,continuous,0.18,"166,166,166",,,,,
F_W_05_a,X,continuous,0.18,"111,90,62",,,,,
F_W_05_b,X,continuous,0.18,"111,90,62",,,,,
F_W_05_d,X,continuous,0.18,"166,166,166",,,,,
F_W_06_a,X,continuous,0.18,"111,90,62",,,,,
F_W_06_b,X,continuous,0.18,"111,90,62",,,,,
F_W_06_c,X,continuous,0.18,"166,166,166",,,,,
F_W_06_d,X,continuous,0.18,"166,166,166",,,,,
G_B_01,X,continuous,0.18,"127,127,0",,,,,
G_B_02,X,continuous,0.18,"127,127,0",,,,,
G_B_03,X,continuous,0.18,"127,127,0",,,,,
G_B_04,X,continuous,0.18,"127,127,0",,,,,
G_B_05,X,continuous,0.18,"127,127,0",,,,,
G_B_06,X,continuous,0.18,"127,127,0",,,,,
G_B_09,X,continuous,0.18,"127,127,0",,,,,
G_B_11,X,continuous,0.18,"127,127,0",,,,,
G_B_12,X,continuous,0.18,"127,127,0",,,,,
G_B_13,X,continuous,0.18,"127,127,0",,,,,
G_B_14,X,continuous,0.18,"127,127,0",,,,,
G_B_15,X,continuous,0.18,"127,127,0",,,,,
G_B_17,X,continuous,0.18,"127,127,0",,,,,
G_B_19,X,continuous,0.18,"127,127,0",,,,,
G_B_20,X,continuous,0.18,"182,197,65",random_points_01,"230,255,0",5,,
G_B_22,X,continuous,0.18,"127,127,0",,,,,
G_B_24,X,continuous,0.18,"127,127,0",,,,,
G_B_25,X,continuous,0.18,"127,127,0",,,,,
G_B_26,X,continuous,0.18,"127,127,0",,,,,
G_B_27,X,continuous,0.18,"127,127,0",,,,,
G_B_28,X,continuous,0.18,"127,127,0",,,,,
G_B_29,X,continuous,0.18,"127,127,0",,,,,
G_B_30,X,continuous,0.18,"127,127,0",,,,,
G_B_31,X,continuous,0.18,"127,127,0",,,,,
G_B_32,X,continuous,0.18,"127,127,0",,,,,
G_B_33,X,continuous,0.18,"127,127,0",,,,,
G_F_01,X,continuous,0.18,"82,165,0",,,,,
G_G_02,X,continuous,0.18,"165,165,0",,,,,
G_G_03,X,continuous,0.18,"165,165,0",,,,,
G_G_04,X,continuous,0.18,"165,165,0",,,,,
G_G_05,X,continuous,0.18,"165,165,0",,,,,
G_G_07,X,continuous,0.18,"165,165,0",,,,,
G_G_08,X,continuous,0.18,"165,165,0",,,,,
G_G_09,X,continuous,0.18,"165,165,0",,,,,
G_G_10,X,continuous,0.18,"165,165,0",,,,,
G_H_04,X,continuous,0.18,"57,76,0",,,,,
G_H_05,X,continuous,0.18,"57,76,0",,,,,
G_H_06,X,continuous,0.18,"57,76,0",,,,,
G_L_07,X,continuous,0.18,"95,127,0",,,,,
G_T,X,continuous,0.18,,,,,,
G_T_01,X,continuous,0.18,,,,,,
G_T_02,X,continuous,0.18,,,,,,
G_T_03,X,continuous,0.18,,,,,,
G_T_04,X,continuous,0.18,,,,,,
G_T_05,X,continuous,0.18,,,,,,
G_T_06,X,continuous,0.18,,,,,,
G_T_07,X,continuous,0.18,,,,,,
G_T_08,X,continuous,0.18,,,,,,
G_T_09,X,continuous,0.18,,,,,,
G_T_10,X,continuous,0.18,,,,,,
G_T_11,X,continuous,0.18,,,,,,
G_T_12,X,continuous,0.18,,,,,,
G_T_13,X,continuous,0.18,,,,,,
G_T_14,X,continuous,0.18,,,,,,
G_T_15,X,continuous,0.18,,,,,,
G_T_16,X,continuous,0.18,,,,,,
G_T_17,X,continuous,0.18,,,,,,
G_T_18,X,continuous,0.18,,,,,,
G_T_19,X,continuous,0.18,,,,,,
G_T_20,X,continuous,0.18,,,,,,
G_T_21,X,continuous,0.18,,,,,,
G_T_22,X,continuous,0.18,,,,,,
G_T_23,X,continuous,0.18,,,,,,
G_T_24,X,continuous,0.18,,,,,,
G_T_25,X,continuous,0.18,,,,,,
G_T_26,X,continuous,0.18,,,,,,
G_T_27,X,continuous,0.18,,,,,,
G_V_02,X,dashed,0.18,"95,127,0",,,,,
G_V_03,X,dashed,0.18,"95,127,0",,,,,
G_V_04,X,dashed,0.18,"95,127,0",,,,,
G_W_02,X,continuous,0.18,"127,0,127",,,,,
G_W_03,X,continuous,0.18,"127,0,127",,,,,
L_С_01_c,X,continuous,0.18,"255,63,0",,,,,
L_С_02_a,X,continuous,0.18,"255,63,0",,,,,
L_С_02_b,X,continuous,0.18,"255,63,0",,,,,
L_С_02_c,X,continuous,0.18,"255,63,0",,,,,
L_С_03,X,continuous,0.18,"255,63,0",,,,,
L_B,X,continuous,0.18,"127,31,0",,,,,
L_B_01_a,X,continuous,0.18,"127,31,0",,,,,
L_B_01_b,X,continuous,0.18,"127,31,0",,,,,
L_B_01_c,X,continuous,0.18,"127,31,0",,,,,
L_B_02_a,X,continuous,0.18,"127,31,0",,,,,
L_B_02_b,X,continuous,0.18,"127,31,0",,,,,
L_B_02_c,X,continuous,0.18,"127,31,0",,,,,
L_B_03_a,X,continuous,0.18,"127,31,0",,,,,
L_B_03_b,X,continuous,0.18,"127,31,0",,,,,
L_B_03_c,X,continuous,0.18,"127,31,0",,,,,
L_B_04_a,X,continuous,0.18,"127,31,0",,,,,
L_B_04_b,X,continuous,0.18,"127,31,0",,,,,
L_B_04_c,X,continuous,0.18,"127,31,0",,,,,
L_B_05_a,X,continuous,0.18,"127,31,0",,,,,
L_B_05_b,X,continuous,0.18,"127,31,0",,,,,
L_B_05_c,X,continuous,0.18,"127,31,0",,,,,
L_B_06_a,X,continuous,0.18,"127,31,0",,,,,
L_B_06_b,X,continuous,0.18,"127,31,0",,,,,
L_B_06_c,X,continuous,0.18,"127, 31, 0",,,,,
L_C,X,continuous,0.18,"255,63,0",,,,,
L_C_01_a,X,continuous,0.18,"255,63,0",,,,,
L_C_01_b,X,continuous,0.18,"255,63,0",,,,,
L_F,X,continuous,0.18,"165,0,0",,,,,
L_F_01_a,X,continuous,0.18,"165,0,0",,,,,
L_F_01_b,X,continuous,0.18,"165,0,0",,,,,
L_F_01_c,X,continuous,0.18,"165,0,0",,,,,
L_F_02_a,X,continuous,0.18,"165,0,0",,,,,
L_F_02_b,X,continuous,0.18,"165,0,0",,,,,
L_F_02_c,X,continuous,0.18,"165,0,0",,,,,
L_F_03_a,X,continuous,0.18,"165,0,0",,,,,
L_F_03_b,X,continuous,0.18,"165,0,0",,,,,
L_F_03_c,X,continuous,0.18,"165,0,0",,,,,
L_F_04_a,X,continuous,0.18,"165,0,0",,,,,
L_F_04_b,X,continuous,0.18,"165,0,0",,,,,
L_F_04_c,X,continuous,0.18,"165,0,0",,,,,
L_I,X,continuous,0.18,"127,0 ,0 ",,,,,
L_I_01_a,X,continuous,0.18,"127,0 ,0",,,,,
L_I_01_b,X,continuous,0.18,"127,0 ,0",,,,,
L_I_01_c,X,continuous,0.18,"127,0 ,0",,,,,
L_I_02_a,X,continuous,0.18,"127,0 ,0",,,,,
L_I_02_b,X,continuous,0.18,"127,0 ,0",,,,,
L_I_02_c,X,continuous,0.18,"127,0 ,0",,,,,
L_I_03_a,X,continuous,0.18,"127,0 ,0",,,,,
L_I_03_b,X,continuous,0.18,"127,0 ,0",,,,,
L_I_03_c,X,continuous,0.18,"127,0 ,0",,,,,
L_M,X,continuous,0.18,"165,41,0",,,,,
L_M_01_a,X,continuous,0.18,"165,41,0",,,,,
L_M_01_b,X,continuous,0.18,"165,41,0",,,,,
L_M_01_c,X,continuous,0.18,"165,41,0",,,,,
L_M_02_b,X,continuous,0.18,"165,41,0",,,,,
L_M_02_c,X,continuous,0.18,"165,41,0",,,,,
L_M_03_b,X,continuous,0.18,"165,41,0",,,,,
L_M_03_c,X,continuous,0.18,"165,41,0",,,,,
L_M_04_b,X,continuous,0.18,"165,41,0",,,,,
L_M_04_c,X,continuous,0.18,"165,41,0",,,,,
L_M_04_c,X,continuous,0.18,"165,41,0",,,,,
L_M_05,X,continuous,0.18,"165,41,0",,,,,
L_M_05_a,X,continuous,0.18,"165,41,0",,,,,
L_M_05_b,X,continuous,0.18,"165,41,0",,,,,
L_M_05_c,X,continuous,0.18,"165,41,0",,,,,
L_M_06_b,X,continuous,0.18,"165,41,0",,,,,
L_M_06_c,X,continuous,0.18,"165,41,0",,,,,
L_P,X,continuous,0.18,"255,0,0",,,,,
L_P_01,X,continuous,0.18,"255,0,0",,,,,
L_P_01_a,X,continuous,0.18,"255,0,0",,,,,
L_P_01_b,X,continuous,0.18,"255,0,0",,,,,
L_P_01_c,X,continuous,0.18,"255,0,0",,,,,
L_P_02,X,continuous,0.18,"255,0,0",,,,,
L_P_02_a,X,continuous,0.18,"255,0,0",,,,,
L_P_02_b,X,continuous,0.18,"255,0,0",,,,,
L_P_02_c,X,continuous,0.18,"255,0,0",,,,,
L_P_03_a,X,continuous,0.18,"255,0,0",,,,,
L_P_03_b,X,continuous,0.18,"255,0,0",,,,,
L_P_03_c,X,continuous,0.18,"255,0,0",,,,,
L_P_04_a,X,continuous,0.18,"255,0,0",,,,,
L_P_04_b,X,continuous,0.18,"255,0,0",,,,,
L_P_04_c,X,continuous,0.18,"255,0,0",,,,,
L_P_05,X,continuous,0.18,"255,0,0",,,,,
L_P_05_a,X,continuous,0.18,"255,0,0",,,,,
L_P_05_b,X,continuous,0.18,"255,0,0",,,,,
L_P_05_c,X,continuous,0.18,"255,0,0",,,,,
L_P_06_a,X,continuous,0.18,"255,0,0",,,,,
L_P_06_b,X,continuous,0.18,"255,0,0",,,,,
L_P_06_c,X,continuous,0.18,"255,0,0",,,,,
N_C,X,continuous,0.18,"0,0,0",,,,,
N_C_01,X,continuous,0.18,"0,0,0",,,,,
N_C_02,X,continuous,0.18,"0,0,0",,,,,
N_C_03,X,continuous,0.18,"0,0,0",,,,,
N_C_04,X,continuous,0.18,"0,0,0",,,,,
N_C_05,X,continuous,0.18,"0,0,0",,,,,
N_C_06,X,continuous,0.18,"0,0,0",,,,,
N_D,X,continuous,0.18,"0,0,0",,,,,
N_D_01_a,X,continuous,0.18,"0,0,0",,,,,
N_D_01_b,X,continuous,0.18,"0,0,0",,,,,
N_F,X,continuous,0.18,"0,0,0",,,,,
N_F_01_a,X,continuous,0.18,"0,0,0",,,,,
N_F_01_b,X,continuous,0.18,"0,0,0",,,,,
N_F_02_a,X,continuous,0.18,"0,0,0",,,,,
N_F_02_b,X,continuous,0.18,"0,0,0",,,,,
N_F_03,X,continuous,0.18,"0,0,0",,,,,
